Student_id,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Output
4,5.861621526,3.329640803,1.319407829,0.719390592,0.530348382,14.48623828,6.298264197,4.471128474,1.741321474,0.932208763,4.664203711,2.670483697,1.544460382,0.697017961,0.430010329,0.263136645,0.241920697,0.170042855,0.111135711,0.136287132,3.089135658,2.392811908,1.354165026,0.625551368,0.554480197,2
4,7.934620012,2.891569976,2.061212,0.919984434,0.575730807,13.31980234,3.111609892,1.975923843,1.711017675,1.526218747,6.208217952,3.024973639,2.820197783,1.067288361,0.67132153,0.116133108,0.04430647,0.053891675,0.045421169,0.063318614,4.168595277,1.791975651,1.555032265,0.826288578,0.492825036,1
5,13.97394783,3.712515923,1.26896809,0.959903526,0.383786154,1.949217846,0.805540103,0.539567885,0.394687577,0.278285179,3.203388308,1.738927564,0.945428859,0.586530218,0.269683205,0.090552372,0.086018487,0.091412846,0.068624897,0.094556423,11.44050499,3.376767244,1.201204256,0.896845667,0.35116141,3
5,13.11721241,5.105709513,1.499721882,0.891960697,0.316944395,9.424254724,1.359564921,0.895408026,0.564210316,0.251830763,24.93978683,8.667503105,3.435638039,1.495555461,0.334991197,0.144363618,0.172602868,0.127356263,0.145076211,0.148107842,10.85252786,5.199717079,1.630190526,0.815257355,0.310274684,2
5,16.0537304,6.263911325,2.567969377,0.935673961,0.422990948,1.919992442,0.930145026,0.653451792,0.408739143,0.356669065,5.192125468,2.038289234,1.202892714,0.566400416,0.302914065,0.198252208,0.194674961,0.162394247,0.129613571,0.177902091,13.47309386,5.055909312,2.277193429,0.928500429,0.325405675,1
6,20.53465558,5.674748507,1.981869406,1.779161,1.279454362,6.096196043,1.191836,1.337972116,2.219417275,2.376841913,3.669205232,1.637985652,1.821024188,1.471446478,1.113578232,0.150694029,0.185280768,0.132618406,0.098844652,0.105175507,16.98536914,4.550324261,2.097658,1.806043971,1.244962449,3
6,3.607048739,2.371326536,2.054059536,3.754488333,4.468838594,936.3758908,310.7423415,137.9413549,51.82194196,19.52422365,2.771149304,1.803867101,1.703053246,3.231434623,4.191455435,0.083705174,0.105844536,0.07881329,0.088033406,0.096777681,3.362782507,2.058266986,1.816225072,3.637420942,4.447749725,2
6,6.981561103,2.254198221,1.863911176,3.143688882,4.110287265,3.210967544,1.41424825,2.151117529,4.059654794,5.784369235,2.71624275,1.694204368,1.370864353,3.149988985,3.716957162,0.207208838,0.212335721,0.162911265,0.174425412,0.166077971,4.450122221,1.784569765,1.685004103,3.075864412,3.987503721,1
7,73.06341171,18.5340944,6.973938917,4.8916835,4.376766583,15.63305749,7.848745764,5.239711222,5.412228903,5.819337514,16.8956106,8.464746194,5.050595653,3.948927181,3.709883444,0.020625236,0.011360958,0.006510361,0.007037889,0.011093847,33.57479628,11.96643029,5.231585903,4.076515181,3.534167833,3
7,624.2141766,165.3003055,79.77299695,25.92232311,5.39637442,602.9059606,165.7312713,81.98585814,26.88224286,5.780262194,4.100375656,1.352309091,1.009795028,0.68469766,0.595055221,0.037752935,0.03289293,0.026464622,0.021755928,0.032829052,2.82752606,0.829068898,0.885808182,1.027781461,1.580419348,2
7,58.98643818,59.24909017,13.23850725,59.75251308,42.42383552,54.94824392,54.7206421,14.57106905,66.73192185,44.87449833,28.40489325,50.7072871,13.98843785,58.9129532,44.01662463,0.010907267,0.0084205,0.010246983,0.01509,0.016611167,42.29774505,51.82937565,12.7639724,62.50430545,39.29847718,1
8,2.347170347,1.46478968,1.098283013,0.71352052,0.506569213,2.62490048,1.362879453,1.316519187,1.86202004,1.60179172,2.09952428,1.08738332,0.933319467,0.58117928,0.435941653,0.047764067,0.076835707,0.06896328,0.034091413,0.045327747,3.016086987,1.45816016,1.123501387,0.721091493,0.524562533,3
